content,polarity,agreement
"#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán.",N,AGREEMENT
"Mis #FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria",P+,AGREEMENT
Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy,P,AGREEMENT
#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!,P+,AGREEMENT
"""Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo""",NONE,AGREEMENT
"Open Master Class@javiersolana &Pedro Alonso on ""Global Health Challenges&Global Governance""@esadegeo@ISGLOBALorg http://t.co/UzhGWbiB… .",NONE,AGREEMENT
3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.,P,AGREEMENT
Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.,N,AGREEMENT
Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. http://t.co/gsDGB8NV,N,AGREEMENT
No se ha aprobado la ley Sinde,N,AGREEMENT
se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.,NEU,DISAGREEMENT
"¡¡Mucho ánimo hoy para ""La Armada""!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! http://t.co/WHsk2vv6",P,AGREEMENT
"Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:""no sabe de lo que habla, no es cierto""",N+,AGREEMENT
Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos.,N,DISAGREEMENT
En el blog: Defender la solidaridad http://t.co/8sDDYC8j,NONE,AGREEMENT
#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano,P,AGREEMENT
"Qué graciosos los ""laicos"" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!",N,DISAGREEMENT
Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. #PSNPSOE,NONE,AGREEMENT
"El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria",NEU,DISAGREEMENT
El post de hoy en mi blog http://t.co/nzhcgrxn,NONE,AGREEMENT
Me encanta ver por aqui  a @TuDNIe ;-)),P+,AGREEMENT
si están por Valencia España les recomiendo esta exposición !! http://t.co/hkjRpj9b,P,AGREEMENT
La gran noche de los abanderados 2.0 - La Opinión de Málaga http://t.co/yYu7uXtH,NONE,AGREEMENT
“@martacerame: @maria_rey Amigaaaaa!!!!!” holaaaa guapaaaa!,P,AGREEMENT
El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él,N,AGREEMENT
"firma de discos, martes, 6 de diciembre en el Cine Callao a las 18 horas http://t.co/elJGColA",NONE,AGREEMENT
El desempleo en EE UU baja a los niveles de marzo de 2009 http://t.co/2RKKqQFG,P,AGREEMENT
Seguimos (@ Unidad de Cuidados Paliativos Hospital Civil) [pic]: http://t.co/7bqEqfY1,NONE,AGREEMENT
Ya salio el sorteo de la eurocopa 2012: españa italia croacia e irlanda. A por ellos!!!!!,NONE,AGREEMENT
"Granado reconoce que da los datos de paro ""con objetividad"" por estar en interinidad. ¿Y antes? @TelediarioInter 20:30",N,AGREEMENT
Corazón partío: España e Irlanda se enfrentarán en la Eurocopa.,N,AGREEMENT
"Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar...urge ley transparencia ya",N+,AGREEMENT
RT @FanClubMASes: Éstas Navidades regala solidaridad:#positivegeneration (cont) http://t.co/BksU1DZv,P,AGREEMENT
¿Crisis de identidad? RT @LoidaLois @EvaORegan ¡¡¡Tú eres española por encima de todo!!!,N,AGREEMENT
El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto. RT @karlagglez: (cont) http://t.co/Hs601N32,P+,AGREEMENT
Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios...la que ahora aplica sin pudor,N,AGREEMENT
"Así me gusta, Mónica “@moniromaba: @pedroj_ramirez. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo.”",P+,AGREEMENT
Eso es amigos. RT @HombresSanzeros: @AlejandroSanz #NavidadSanzeraSolidaria Todos a comprar (cont) http://t.co/y4OUji31,NONE,AGREEMENT
Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos.,P,AGREEMENT
"Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento.",N+,AGREEMENT
@GFVara la ley del embudo...característica de la derecha española. Animo,N+,AGREEMENT
"Eso no es cierto, nos llevamos de maravilla. RT @Deyra_love_BTR: @AlejandroSanz  ¬¬ POR QE!!! (cont) http://t.co/7DyF7Sus",P+,AGREEMENT
"España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h @giraldatv.es http://t.co/Ns8tOZqR",P+,AGREEMENT
Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!!!,P+,AGREEMENT
"Durante la campa?a, Cospedal decía lo que oía en casa, ahora ya hace lo que oye en casa. http://t.co/caqPmxJM",NONE,AGREEMENT
@SSantiagosegura @angyfdz @flofdez BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;),P+,AGREEMENT
"Para nadaaaa... Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño,RT (cont) http://t.co/NWQIgoK5",P+,AGREEMENT
"Adiós al día en el q casi ha culminado el ""destape"" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo",N,AGREEMENT
"Auan, apeich, agromenauer...Lucas Grijander y su progenitor... http://t.co/q957CpTB",NONE,AGREEMENT
"""La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad""W.H. Patrick",P+,AGREEMENT
Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente.,N,AGREEMENT
"A ver si lo entiendo: como Banco Central Europeo no puede prestar a los Gobiernos, prestará al FMI para q este, q si puede,lo haga. Europa!",P,AGREEMENT
Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización . http://t.co/zto5m1tw,N,AGREEMENT
"Buenos dias, que buenos eran/siguen siendo Talking Heads...",P+,AGREEMENT
@SSantiagosegura jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;)))) haciendo d Lady Marmalade!!!;)) jojijii,P+,AGREEMENT
#malaga Plaza de la Merced   @ Plaza de la Merced http://t.co/4xScGs1a,NONE,AGREEMENT
Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados.,N,AGREEMENT
Tranquilidad en las carreteras en el segundo día de Puente de la Constitución - http://t.co/NRk2uftQ,P+,AGREEMENT
Gracias por la hospitalidad!!! ;-) RT @IsabelaTortlini Bienvenido DON @aarbeloa17 a mi humilde morada ;),P,AGREEMENT
"En el Espolón, conmemorando el Día de la Discapacidad http://t.co/52olz4vl",P,AGREEMENT
Así es el belén del Ayuntamiento http://t.co/S6Ocgz6i,NONE,AGREEMENT
Los vándalos le arrancan de nuevo el lápiz a Picasso http://t.co/LfyNuArl,N+,AGREEMENT
Esto es apoyar de verdad: La @DiputacionMLG  reducirá impuestos a 96 pueblos http://t.co/VIGtaT1k,P,AGREEMENT
Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!,N,AGREEMENT
Que corra el Dewars!!!“@DewarsSpain: @jordievole @buenafuente @julia_otero @santi_millan gracias Jordi”,P,AGREEMENT
Detenida la jefa de una prestigiosa ONG rusa de control electoral http://t.co/leWFa7BO,P+,AGREEMENT
Porque no tenemos programa. Gracias @KimyTwitera: @Buenafuente buenafuente por q ya no dais tanta risa???¿¿¿¿???”,N,AGREEMENT
"Mi artículo en ESD: ""La testarudez del consejero de Salud riojano pone a Sanz en la picota""  http://t.co/M9poedN7",N,AGREEMENT
"Noelia, Noelia, Noelia...“@njimenez79:  Me parezco a @pedroj_ramirez en el manejo del iPad. A ver si empiezo a parecerme en lectores!”",NONE,AGREEMENT
"La vida no se mide por las veces que respiramos, sino por aquellos momentos que nos dejan sin aliento (vía @ifilosofia)",NONE,AGREEMENT
"Sinceramente, estoy observando la zona de "" recreo"" psiquiátrica del H.Civil y es patético lo que veo http://t.co/vE8BhpJs",N+,AGREEMENT
"Con Fina, mi mujer, amigos y el reparto de ""Iceberg"", nueva película de Gabriel Velázquez.Por Gabri no pasan los años. http://t.co/n2chJhTr",P+,AGREEMENT
". @diario_sur así esta la zona de ""recreo"" psiquiátrica en el Hospital Civil . Patético . Son personas http://t.co/QDcW1amA",N+,AGREEMENT
Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto.,N+,AGREEMENT
Nada como unos rollitos de vez en cuando http://t.co/5HJJprCZ,NONE,AGREEMENT
Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante.,N,AGREEMENT
RT@FranHervias:UPyD pacta con Cascos para tener grupo.A pesar d que en 2008 decían que no era lícito este tipo d pactos http://t.co/fG5cVwM9,NEU,DISAGREEMENT
"Bueno, a ver qué hace el Madrid. Lo comentamos dentro de un rato con Edu en Radio Marca.",NONE,AGREEMENT
"Señora  @mjmonteroc mire usted el estado de la zona de "" recreo"" de psiquiatría del Hospital Civil de #malaga http://t.co/UAAABf17",NONE,AGREEMENT
GRACIAS AMIGOS!!! YA SOMOS 200.000!!!;),P+,AGREEMENT
Ey @ivangeba que si esta aquí la Consejera de Salud @mjmonteroc,NONE,AGREEMENT
"@Carlos_Latre Twitcam, Twitcam, Twitcam, Twitcam, Twitcam, Twitcam !!!",NONE,AGREEMENT
Ojala en España fuera igual RT @cdperiodismo: En Brasil se necesitará diploma para ejercer el periodismo http://t.co/SroI6DhX,NEU,DISAGREEMENT
"Preciosa de verdad - Perdóname by Pablo Alborán, from #SoundHound http://t.co/u0CAbR3X",P+,AGREEMENT
Ataque de inyección SQL masivo http://t.co/q4usPkRL,N+,AGREEMENT
Descansando 2 http://t.co/1legIDgw,NONE,AGREEMENT
Mira @sblanco nuestro árbol ;-)) http://t.co/gjBkxMpv,P+,AGREEMENT
"Je,je!!! Eso es bueno @mkreyes80: @Buenafuente me has hecho llorar... De risa!”",P+,DISAGREEMENT
RT @Nosesiaporto: Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos!!! La teleton te necesita!!!,P+,AGREEMENT
"Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil.",P+,AGREEMENT
RT @Betolash: A ver Pau ¿cuánto es 4x4? Un jeep todo terreno maestra #MultiplicoComoPaulinaRubio ja ja ja muy bueno!,P+,AGREEMENT
Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?,N,AGREEMENT
"Buenos dias y mil gracias RT @pvcmalaga: Buen día @mariviromero,mi concejala favorita.",P+,AGREEMENT
. @JavierArenas_PP  critica que @PepeGrinan pida a @MarianoRajoy una reunión que niega a sus alcaldes  http://t.co/5oMAB1Us,N,AGREEMENT
". @MarianoRajoy :  ""Salir adelante no es tarea de un Gobierno solo""  http://t.co/mJSq4fz1",NONE,AGREEMENT
Krugman: la austeridad está matando al euro http://t.co/CbRL2Rj8 via @el_pais,N,AGREEMENT
".@sgueina: ""¿quién es el tapado del PSOE? La respuesta está en mi blog http://t.co/aFKafvRL”¿Sólo ha leído dos libros?"" Era una metáfora.",N,AGREEMENT
".@rutenca .@sgueina ""el tapado ha leido más de 2! es licenciado en historia contemporanea y master en integración europea..”Viva la ironía",NEU,AGREEMENT
;-)) RT @cacmalaga: http://t.co/AFmBIYxK @cacmalaga #arte #cultura #pintura #museo #museums,P,AGREEMENT
Rajoy quiere que España vuelva a tener relevancia en Europa http://t.co/RGhPlkBR,P,AGREEMENT
"Políticos q no responden. ""En ningún país dl mundo homologable al nstro se tolera semejante práctica"" http://t.co/7hoIl9HR via @antonlosada",N+,AGREEMENT
"@EvaORegan @antonlosada Obviamente, contar que son declaraciones q no ha permitido preguntas.",N,AGREEMENT
"No podía faltar, dominguito en mi tierra y final de la Davis. Con el cuñao (@carlos_muela ). http://t.co/l28AOIdR",P,AGREEMENT
Palmas por sevillanas para animar a Rafa!! #sevillaciudadtalisman #copadavis,P+,AGREEMENT
Recién llegada a Madrid!!por fin en casitaaa pero que frío!!No me quiero ni imaginar como hará en la sierra y mas cuando sea de noche....,NEU,AGREEMENT
Retazos de una primera dama http://t.co/168s72nj,NONE,AGREEMENT
"'Chico & Rita', premio europeo a la mejor cinta de animación http://t.co/FF7giIse",P+,AGREEMENT
Vamos equipo!! Vamos Nadal!! Toda España esta en tu mano!! Eres el mejor y contigo todos vamos a ser Campeones!! También ELORRIO,P+,AGREEMENT
"Otro passing escalofriante sobre la linea pone a Nadal 5 a 1 en el tercero.La ensaladera, mas cerca.#VamosRafa #CopaDavis ole @RafaelNadal!!",P+,AGREEMENT
"Buen artículo de LD. Hay que arrimar el hombro. La Asociación de Ayuda a las Víctimas del 11-M, al borde del cierre http://t.co/RYYX6ksH",NEU,DISAGREEMENT
"Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad...",P,AGREEMENT
Menudo break en blanco ha logrado DelPotro. Vamos a sufrir hasta el final. Los hinchas argentinos descentran a Rafa.,NEU,DISAGREEMENT
“@BeaGarciaCHV: @Edurnity mi segundo apellido es camello! Tendré algo que ver con los reyes magos???”te doy mi carta y se la das??jajja bss!,P+,AGREEMENT
"“@marinitaMF: @Edurnity Ojo, que yo me apellido ""Molas"", tal cual! y no es broma.”en serio?? Como Mola!! Jajjaja",P+,AGREEMENT
Viaje a las embajadas catalanas del derroche - ABC.es http://t.co/sD2LV37R via @abc_es,N+,AGREEMENT
"Este set lo está ganando el público argentino. Del Potro había tirado la toalla, comenzaron a cantar y van ganado. Rafa puede! #VamosRafa",P+,AGREEMENT
“@Ryankuletz: Creo que @edurnity se ha puesto a responder tweets sobre apellidos por el iPhone. #cosasquenuncaentenderas :)”jaajjajajja,P+,AGREEMENT
Amonestado el público argentino en La Cartuja!!!,N,AGREEMENT
... Y Rafa saluda a todo el equipo argentino. Qué talla de campeón!!,P+,AGREEMENT
"La quinta ensaladera. Nadal saludando al equipo argentino. Y ahora al público. Oe, oe, oe",P+,AGREEMENT
Ya esta aquí. Ya llegó por fin la quinta ensaladera. Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz.,P+,AGREEMENT
"que grande, ese abrazo de nadal con todo el equipo argentino IMPRESIONANTE. como sabe ganar este campeón!!!",P+,AGREEMENT
Grandioso Rafa Nadal!!!!!,P+,AGREEMENT
"El público que cante gritando sin parar: ""por eso yo te quiero dar Rafa mi corazón, yo te sigo a todas partes..."" ¡Gracias por ser ESPAÑOL!",P+,AGREEMENT
El camino no puede ser otro que más Europa #enmiblog,NONE,AGREEMENT
El partido de Putin/Medveded (Rusia Unida) gana los comicios pero sufre una fuerte caía. Segundo partido más votado: Partido Comunista.,NEU,AGREEMENT
"Madrid ciudad sin niños, aumenta el número de personas que viven solas.",NONE,AGREEMENT
"Felicidades a @RafaelNadal y a todo el equipo español de Copa Davis. Todo un ejemplo de esfuerzo, ilusión y superación. RbCb",P+,AGREEMENT
#donaundia Los 1000 primeros días cruciales para la vida del niño http://t.co/jLUjz5NK ENTRA y COLABORA ( RTs plis ),NONE,AGREEMENT
Estoy viendo los editoriales “@jjesusmelian: @pedroj_ramirez cuentalo ya q estamos en el descanso”,NONE,AGREEMENT
"Fantásticas, a cual mejor “@MarisolCovelo. qué os parece mi foto de #elprimernaufragio ?http://t.co/ZjCzROgC http://t.co/CH3jjGX1”",P+,AGREEMENT
Fin a la impunidad en #Internet http://t.co/j7WaLdS3,P,AGREEMENT
A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi.,N,AGREEMENT
"""Una entrevista es un punto intermedio entre una sesión de psicoanálisis y un concurso. A veces no tengo respuestas"" Fellini",NONE,AGREEMENT
En el blog: Lágrimas tecnócratas http://t.co/Y7K9awBr,N,AGREEMENT
"""Los ministros d @marianorajoy : fin de la ineptocracia"" @Semanaldigital @PPopular http://t.co/PrsX6XAN",N,AGREEMENT
"Portada de Público de mañana: Urdangarin SA. Dentro, la lista de las 103 entidades que pagaron a Nóos http://t.co/BP1Bfcl6",N,AGREEMENT
A por @crackoviadeTV3 !!;)) buenos días queridos twiteros!!;)),P,AGREEMENT
Gracias Venezuela!!! http://t.co/UdCRaDkY,P+,AGREEMENT
"Bdías, Elisabeth. Estoy muy orgulloso de que EM haya localizado en un remoto lugar de Rumania al testigo que no acudió al juicio.",P+,AGREEMENT
"¿Cómo se explica que miles de españoles se ausenten en masa del trabajo durante el ""puente"", mientras en España hay 5 millones de parados?",N+,AGREEMENT
"Mas es presidente autonómico porque tenemos autogobierno gracias a la Constitución,pero ni la cumple ni la hace cumplir #fueradelaley",N,AGREEMENT
"Sobre ""accidentes""... RT @santigonzalez10 Él había llegado antes http://t.co/yQjNqebS",N,AGREEMENT
http://t.co/ewFMZ5fc Una lectura de lo que ha ocurrido este fin d semana en #Rusia con #Putin y su partido en @LARAZON_es,NONE,AGREEMENT
Dani García recoge en un libro 50 tapas para acercar la cocina a la sociedad http://t.co/Se4fAB9z,P,AGREEMENT
El voluntariado invisible http://t.co/CD64WfZF #DiaDelVoluntariado,NONE,AGREEMENT
"El gobierno chino cree que el país ""no está preparado"" para protestas sociales - http://t.co/tyMt3Omq",N,AGREEMENT
En el Congreso. Entregando el Acta y haciendo todo el papeleo. Luego os cuento como queda la cosa!,NONE,AGREEMENT
Que vistas tiene mi amigo @DjDiMartino  desde su casa en almeria! Y esta tarde y esta noche con el en discoteca caramelo,NONE,AGREEMENT
UpyD y Amaiur recurriran a la justicia si no logran grupo. La justicia ya dió todo el poder a la mesa del congreso en caso similar.,N,AGREEMENT
Hoy abordaremos en @13tv_aldia @13television la gestión privada de los hospitales públicos. ¿qué ganamos los ciudadanos? ¿qué perdemos?,NEU,AGREEMENT
"Sin Miedo by Rosana, from #SoundHound http://t.co/pl93OEFG",NONE,AGREEMENT
"Y mientras tanto, el verdadero problema se agrava año tras año http://t.co/J4stXBl8",N+,AGREEMENT
El sector del lujo cierra el ejercicio con un 25% más de beneficios. ¿Quién sufre la crisis? Pues eso...,NEU,DISAGREEMENT
Que bonito despliegue de seguridad en alfonso XII. Contravigilancia en toda la manzana. Y no es nadie del Gobierno!!!!,P+,AGREEMENT
Uno de los desafíos del periodismo. Encontrar su sitio para no perder la vigilancia del poder via @Clarin_com http://t.co/vgpQHJvs,P,AGREEMENT
El @ppandaluz no aceptará el caramelo de una presidencia de dos años en la FAMP si no hay refundación http://t.co/tAgF97e6  @europapress_es,N,AGREEMENT
"Sí, raritos q somos...  ""Si yo fuera España y se tratara de elegir entre 2 o 3 años de caos y 20 o 30 en la miseria..."" http://t.co/69OM6a3R",N,AGREEMENT
"RT @PerezHilton @paurubio Que triste es esto, Pau! http://t.co/ZKF4LZOH @JonahMowryReal &lt;3! http://t.co/HBdZNwj5",N,DISAGREEMENT
"Joooooo :-) RT @xaviconde Me dice @Tonicanto1, que quiere rapear una estrofa del villancico. Lo siento Toni, aquí tenemos a @Padrinomc.",P,AGREEMENT
En estos días de traspaso de poderes os recomiendo seguir a 3 personas claves en el proceso @sorayapp @jlayllon y @fatimabanez entre otros,NONE,AGREEMENT
Entiendo que CNN conecte por Skype con disidentes en Siria pero que la mayoría de las conexiones ya sean por cámara de móvil ...,NEU,AGREEMENT
Detienen a dos sospechosos por secuestro cooperantes españoles en Tinduf. Intentaron venderlos a AQMI. http://t.co/kkOrMmiw V @plazaro67,N,AGREEMENT
"#ICanAdmit , #elcomecocos10 , Merkel y Sarkozy y #cuatrotuiteros , los TT esta tarde en España",NONE,AGREEMENT
"El @PPopular no descarta otra ronda de reuniones con ministerios para traspaso de poderes, después de recibir información pedida al gobierno",NONE,AGREEMENT
"Toda suya “@juliosandreu: Sí Sr. La he grabado. Un saludo desde el otro lado, jeje, ( de España ). Buena tarde.”",P+,AGREEMENT
"Y hable con el corazón de los afectos Y en esas cosas la Justicia habla idiomas diferentes. Insisto, dusculpad, pero volvería a hacerlo.",NONE,AGREEMENT
Entiendo los unfollow. Aceptar el desconcierto. Y hasta reconocer errores. Pero creo fuera de lugar anunciar venganza radiofónica. Eso no,P,AGREEMENT
;-)))) RT @CarlosSerrato82: #FW para @mariviromero y mucha suerte con tu primera entrevista aquí. El hastag es #YNTERVIUMarivi,P+,AGREEMENT
"""España gasta mas en sanidad que tofo el presupuesto en sanidad"" Núñez Feijoo en @Gato_directo",N+,AGREEMENT
A las 22.30 mi primera entrevista en directo en Twitter. Si Quieres seguirla busca el hastag #YnterviuMarivi l http://t.co/FVXISuNy,P,AGREEMENT
Feliz dia del voluntario... Los hËroes anónimos... Los del sacrificia por eleccion propia. Gracias por tanto.,P+,AGREEMENT
Gracias RT @Pepemaras: #YNTERVIUMARIVI Interesante la entrevista de @mariviromero Nuevas herramientas: nuevas formas de comunicar,P+,AGREEMENT
Gracias a ti Paco RT @pacorengel: #YNTERVIUMARIVI @mariviromero Muchísimas gracias. Un beso. La cuelgo en un ratito en http://t.co/yK7PeIva,P+,AGREEMENT
"Aunque en menor medida, también lo son muchas que no son madres ;) @ejoana: Supermujeres. Gran post de @virginiapalonso http://t.co/SUTdmagF",P+,AGREEMENT
Una vez q ha hablado el protectorado franco-alemán la Europa a 2 o 3 velocidades está hecha: ahora falta ver dónde queda España,N,AGREEMENT
"Impresionante! Enhorabuena a @enpiedeguerra y un beso a @chiquiesteban : Percebeiros, de David Beriain, a por el Goya! http://t.co/cP7Ae8Sn",P+,AGREEMENT
"Sorgiñas, culebras. Cabrones negros de barba larga.",N,AGREEMENT
"... enough today... la semana es larga, y seguramente más apasionante de lo recomendable.....",P+,AGREEMENT
Me voy a leer un rato 'Un día más con vida' de Ryszard #Kapuscinscki. Gran descubrimiento del reportero polaco. ;) http://t.co/cnha2Jy6,P,AGREEMENT
Disculpad la vehemencia. Pienso en ello para una peli.,NONE,AGREEMENT
"Despegando ya...que lindo mi pais, que linda mi gente!! --Shak",P+,AGREEMENT
SyntekNosa pax ahora actuando. Claaro que si. http://t.co/eBzWtsgc,NONE,AGREEMENT
"Bono celebra su última fiesta en el Congreso y la pregunta es si habrá un Viva España! Con @JuanraLucas y en RNE, para arrancar.",P,AGREEMENT
"Triste RT @JosepLLuisCerro: RT @skalistrao: ""Papá, ¿nosotros qué somos: catalanes o fachas?"" :: Barcelona :: Cataluña: http://t.co/7WAkfXUO",N,AGREEMENT
Extorsión mafiosa; por Carlos García - en  http://t.co/dBb5qOyt vía @larazon_es,N,AGREEMENT
"No sé de que se sorprenden algunos. El PP presenta unos presupuestos tarde, sin negociar, cargándose la universidad, recortando derechos...",N,AGREEMENT
¿Se plantea Rajoy subir el IVA? http://t.co/G7yi7v96,N+,AGREEMENT
"¡Constitución, Constitución!, ¡Cuántos viajes y comidas gratis se han dado en tu nombre!, feliz día.",N+,AGREEMENT
"Buenos días. El hastag debería ser #cincotuiteros, porque yo soy uno de ellos. #cuatrotuiteros",NONE,AGREEMENT
BUENOS DÍAS PARTY TIME!!!,P,AGREEMENT
"A los okupas no les gusta el edificio de Concepcion Jeronima xq esta en obras. Les gustan mas los edificios a estrenar, pero sin pagar...",NEU,DISAGREEMENT
Hoy en el Día de la Constitución me acuerdo como cada día de los millones de personas bajo en umbral de la pobreza #vivalaconstitucion,N,AGREEMENT
Monti dice que no cobrará como primer ministro. Demagogia populista para hacer tragar el ricino de los recortes. La aristocracia financiera,N+,AGREEMENT
"El «vuelva usted mañana», pero por mail - ABC.es http://t.co/N2n4PUux via @abc_es",NONE,AGREEMENT
Rubalcaba responde a Ridao en El País http://t.co/6kU2KW8T El artículo del que habla es éste http://t.co/8Z9P0MLG   // vía @Guerraeterna,NONE,AGREEMENT
Chacón confía en la democracia interna de los partidos.. Día de la Constitución. #Congreso,P+,AGREEMENT
.@marianorajoy #congreso: Primera ley será desarrollo reforma constitución xra garantizar estabilidad presupuestaria. Lo dirá #ZP n Bruselas,P,AGREEMENT
